technology,action,energy,area,global_cycle_seconds,action_latency_cycles,n_instances,comment
free,compute,0.00E+00,0.00,1.2e-09,1,1,energy in pJ;  area in um^2
free,idle,0.00E+00,0.00,1.2e-09,1,1,
