technology,datawidth,action,energy,area,global_cycle_seconds,action_latency_cycles,n_instances,comment
32nm,16,shift_and_add,4.18E-02,60,1.2e-09,1,1,energy in pJ;  area in um^2
32nm,16,idle,0.00E+00,60,1.2e-09,1,1,
