technology,action,energy,area,global_cycle_seconds,cycle_seconds,action_latency_cycles,n_instances,comment
32nm,sample_and_hold,8.13E-06,0.0390625,1.2e-09,1.2e-09,1,1,energy in pJ;  area in um^2
32nm,idle,0.00E+00,0.0390625,1.2e-09,1.2e-09,1,1,
