technology,type,datawidth,action,energy,area,global_cycle_seconds,action_latency_cycles,n_instances,comment
32nm,SAR,8,convert,1.66E+00,1200,1.2e-09,1,1,energy in pJ;  area in um^2
32nm,SAR,8,idle,0,1200,1.2e-09,1,1,
