technology,datawidth,action,energy,area,global_cycle_seconds,action_latency_cycles,n_instances,comment
32nm,1,convert,0.0033,1.66E-01,1.2e-09,1,1,energy in pJ;  area in um^2
32nm,1,idle,0,1.66E-01,1.2e-09,1,1,
